Year,Length (m),Notes,Source,Type
-240,110,Designed by Archimedes!,Wikipedia list of large ships,Passenger ship
-200,115,,Wikipedia,Passenger ship
1500,92.5,Taken average of Wikipedia estimate,Wikipedia,Passenger ship
1506,73152,unknown whether with out without beam,Anderson 1913,"Anderson. Not passenger ship, just biggest ship"
1532,54.5592,,,Anderson
1566,67.2084,,,Anderson
1637,70.7136,Taking into accout the beam. ,,Anderson
1675,67.60464,,,Anderson
1684,68.4276,,,Anderson
1692,72.57288,,,Anderson
1699,73.70064,,,Anderson
1742,78.12024,,,Anderson
1769,78.57744,,,Anderson
1790,81.41208,,Anderson+wikipedia,Anderson
1831,49,,Wikipedia,
1837,76.8,,Wikipedia,
1839,75,,Wikipedia,
1839,74,,Wikipedia,
1840,98,,Wikipedia,
1845,100,,Wikipedia,
1854,110,,Wikipedia,
1858,211,,Wikipedia,264.8
1871,138,,Wikipedia,264.8
1873,135.5,,Wikipedia,
1875,143,,Wikipedia,
1875,148.9,,Wikipedia,
1881,157,,Wikipedia,
1881,170.7,,Wikipedia,
1888,170,,Wikipedia,
1893,190,,Wikipedia,
1897,200,,Wikipedia,
1899,215,,Wikipedia,
1901,214,,Wikipedia,
1903,210,,Wikipedia,
1904,222,,Wikipedia,
1906,206.5,,Wikipedia,
1907,240,,Wikipedia,
1907,240,,Wikipedia,
1911,269,,Wikipedia,
1912,269,,Wikipedia,
1913,276,,Wikipedia,
1914,290,,Wikipedia,
1922,291,,Wikipedia,
1935,314,,Wikipedia,
1936,310.7,,Wikipedia,
1946,314,,Wikipedia,
1962,315,,Wikipedia,
1987,270,,Wikipedia,
1995,261,,Wikipedia,
1998,272,,Wikipedia,
1999,310,,Wikipedia,
2000,310,,Wikipedia,
2002,311,,Wikipedia,
2003,345,,Wikipedia,
2006,338,,Wikipedia,
2009,360,,Wikipedia,
2016,362,,Wikipedia,
2018,361,,Wikipedia,
